x,y,address
-95.349386,29.7576484,2200 COMMERCE ST
-95.3451896,29.7570816,2500 CANAL ST
-95.349386,29.7576484,2200 COMMERCE ST
-95.32777159999999,29.73202199999999,5000 JEFFERSON ST
-95.3301769,29.731042,1200 PEARSON 
-95.31942319999999,29.7325249,5400 BELL ST
-95.34394209999999,29.7373464,1800 MILBY 
-95.36566859999999,29.7416895,2500 HAMILTON ST
-95.3727377,29.7454558,1100 BREMOND ST
-95.3733615,29.7366638,1600 HOLMAN 
-95.3751994,29.7472332,2500 MILAM 
-95.36458929999999,29.7446003,2100 CHENEVERT 
-95.38065,29.7354997,4100 FANNIN ST
-95.3801627,29.736079,4000 FANNIN ST
-95.3638581,29.7263272,3000 ISABELLA 
-95.361238,29.7065603,3700 CHARLESTON 
-95.36074599999999,29.719287,3400 BLODGETT ST
-95.3724878,29.7250573,4700 DOWLING ST
-95.3802347,29.7162666,3500 MACGREGOR WAY
-95.38898139999999,29.6943145,7200 ALMEDA RD
-95.38702870000002,29.6933601,2900 CORDER ST
-95.3863884,29.7213384,1600 HERMANN DR
-95.38101250000001,29.7301713,1400 BLODGETT ST
-95.39743070000002,29.714947,6400 FANNIN ST
-95.3955512,29.696913,1900 OLD SPANISH TRL
-95.4119352,29.7079081,6800 BELLGREEN 
-95.40698739999999,29.7278138,2000 NORTH BLVD
-95.39497779999999,29.730113,1300 BANKS ST
-95.3844852,29.7055346,2300 HOLCOMBE BLVD
-95.294681,29.7171304,7100 LAWNDALE 
-95.30230999999999,29.74528,1300 WAYSIDE 
-95.2993662,29.714811,2200 MARLO 
-95.296454,29.732267,7300 CAPITOL ST
-95.2885031,29.7359275,7600 CANAL ST
-95.2966651,29.74309019999999,7100 NAVIGATION 
-95.30206299999999,29.74657,1500 WAYSIDE 
-95.29040359999999,29.7226023,7700 TIPPS 
-95.3037377,29.7376223,300 69TH ST
-95.29178929999999,29.7834183,2300 WAYSIDE 
-95.3042986,29.741185,700 WAYSIDE 
-95.28452310000002,29.7293428,7900 BALTIMORE ST
-95.3098933,29.7389309,200 66TH ST
-95.2970327,29.717944,1500 LAWNDALE PLAZA 
-95.3029499,29.7503633,6700 AVENUE T 
-95.30931199999999,29.739894,6600 SHERMAN 
-95.3037377,29.7376223,300 69TH ST
-95.3098933,29.7389309,200 66TH ST
-95.26229029999999,29.7205851,600 93RD ST
-95.28970460000001,29.7012738,7400 PLUM CREEK DR
-95.28883119999999,29.6958679,6900 GULF FWY
-95.27927319999999,29.7028327,7900 SARITA 
-95.2820361,29.7070985,7800 NARCISSUS 
-95.28970460000001,29.7012738,7400 PLUM CREEK DR
-95.2806911,29.7035659,7900 GLOVER 
-95.263868,29.6696091,8500 GULF FWY
-95.2877735,29.6949996,7300 GULF FWY
-95.28470779999999,29.6921292,7500 GULF FWY
-95.278229,29.698848,2900 BROADWAY ST
-95.29170140000001,29.8039538,7600 LOOP 
-95.2698678,29.6782457,8300 WINKLER DR
-95.278229,29.698848,2900 BROADWAY ST
-95.2753561,29.6991516,8200 BROCKTON ST
-95.27430129999999,29.703983,2500 GALVESTON RD
-95.267911,29.6751174,8400 GULF FWY
-95.278229,29.698848,2900 BROADWAY ST
-95.273101,29.68752499999999,8200 PARK PLACE BLVD
-95.26970209999999,29.69135,8300 PARK PLACE BLVD
-95.2390042,29.6910027,5500 EL BUEY WAT 
-95.2422238,29.6934197,900 OAK MEADOWS BLVD
-95.2464943,29.6960998,900 AXILDA ST
-95.2411781,29.69770759999999,300 MAROBY AVE
-95.2513824,29.69460639999999,1400 GOBER 
-95.2473007,29.6905547,5100 ROSA ALLEN DR
-95.25797159999999,29.6644608,7200 EASTHAVEN BLVD
-95.249048,29.676121,5200 GALVESTON RD
-95.2435339,29.6745591,2600 FOREST OAKS BLVD
-95.254801,29.669165,9100 WINKLER DR
-95.248969,29.679056,5100 SILVER CREEK DR
-95.2513125,29.6561505,9300 TALLYHO 
-95.2298472,29.6428603,700 GILPIN ST
-95.2463362,29.6349148,9400 CLEARWOOD 
-95.24582000000001,29.641725,10500 GULF FWY
-95.2388508,29.6462201,1100 SHAWNEE 
-95.24097189999999,29.6446067,1200 REDFORD 
-95.2649306,29.6519415,8600 PANAIR 
-95.22119070000001,29.6478152,100 EDGEBROOK DR
-95.2405905,29.6265205,9900 WINDMILL LAKES BLVD
-95.240899,29.63766099999999,10900 GULF FWY
-95.22424079999999,29.62223689999999,12100 GULF FWY
-95.2335219,29.627209,10200 ALMEDA GENOA RD
-95.2649306,29.6519415,8600 PANAIR 
-95.2352311,29.650159,900 GLOBE ST
-95.2636204,29.6567366,7800 MONROE RD
-95.240027,29.6427368,1100 EDGEBROOK DR
-95.2369197,29.6275061,10100 ALMEDA GENOA RD
-95.24893469999999,29.6270409,9400 ALMEDA GENOA RD
-95.2401924,29.6226224,10100 WINDMILL LAKES BLVD
-95.24285689999999,29.6477553,1300 SULPHUR 
-95.25662059999999,29.6430134,9000 RADIO RD
-95.2418029,29.6380256,9800 HOLLOCK 
-95.22884239999999,29.6283444,11700 GULF FWY
-95.2438136,29.6366373,9200 NATHANIEL 
-95.2422091,29.6445547,1300 REDFORD 
-95.20830699999999,29.6457506,4300 SHAVER ST
-95.26233789999999,29.6184403,10100 CLEARGROVE LN
-95.21743959999999,29.6477206,100 PRINCESS DR
-95.2384477,29.627495,10000 ALMEDA GENOA RD
-95.2418029,29.6380256,9800 HOLLOCK 
-95.22961,29.64365939999999,700 ARVANA ST
-95.22119070000001,29.6478152,100 EDGEBROOK DR
-95.2515591,29.6520135,9800 GULF FWY
-95.2343817,29.6320289,9500 ROWLETT 
-95.22519199999999,29.610418,10700 FUQUA ST
-95.2121638,29.60165679999999,11800 SAM HOUSTON PKWY
-95.2121638,29.60165679999999,11800 SAM HOUSTON PKWY
-95.2121638,29.60165679999999,11800 SAM HOUSTON PKWY
-95.2422163,29.6110388,10800 ALDIS ST
-95.2161364,29.6131289,12800 GULF FWY
-95.2161364,29.6131289,12800 GULF FWY
-95.2245465,29.6032705,10100 KIRKGLEN DR
-95.21947709999999,29.6082612,11600 SABO RD
-95.2166409,29.6050495,12000 SABO RD
-95.217889,29.6163866,12500 GULF FWY
-95.21667629999999,29.6171821,12600 GULF FWY
-95.2176252,29.6146237,11400 FUQUA ST
-95.20957729999999,29.6090023,11800 DICKINSON RD
-95.21667629999999,29.6171821,12600 GULF FWY
-95.2403951,29.6090568,11000 KINGSPOINT 
-95.2161364,29.6131289,12800 GULF FWY
-95.221492,29.62012,12300 GULF FWY
-95.2093819,29.6423788,4500 SHAVER ST
-95.2124607,29.6133122,11900 KURLAND DR
-95.22707539999999,29.6233659,12200 GULF FWY
-95.221492,29.62012,12300 GULF FWY
-95.211073,29.636465,8500 GALVESTON RD
-95.21646059999999,29.6204921,12600 GREEN DR
-95.2124607,29.6133122,11900 KURLAND DR
-95.21453600000001,29.6341554,8800 TIERRA PARK 
-95.221492,29.62012,12300 GULF FWY
-95.19448220000001,29.5826238,12400 CARMEL DALE LN
-95.2008438,29.574614,11800 RAMLA PLACE TRL
-95.19813239999999,29.5960531,11800 ALGONQUIN DR
-95.18227619999999,29.5843385,15700 GULF FWY
-95.19813239999999,29.5960531,11800 ALGONQUIN DR
-95.1949264,29.58944219999999,11900 POMPTON DR
